modeldate,Barack Obama,Mitt Romney,margin
2012-03-01,48.618199,45.410267,3.2079319999999996
2012-03-02,48.677113,45.295302,3.381810999999999
2012-03-03,48.759149,45.5596,3.1995489999999975
2012-03-04,48.054085,45.603854,2.4502310000000023
2012-03-05,48.202883,45.626303,2.57658
2012-03-06,48.389638,45.411505,2.9781329999999997
2012-03-07,48.298728,45.576149,2.722578999999996
2012-03-08,47.98854,45.895264,2.093276000000003
2012-03-09,47.713445,46.107087,1.6063580000000002
2012-03-10,47.347382,47.102861,0.24452100000000598
2012-03-11,48.341891,46.365544,1.976346999999997
2012-03-12,48.1478,46.164654,1.9831459999999979
2012-03-13,48.046121,46.300243,1.7458779999999976
2012-03-14,48.000475,46.403019,1.597456000000001
2012-03-15,47.955202,46.434291,1.5209109999999981
2012-03-16,48.513837,46.329454,2.184383000000004
2012-03-17,48.371443,46.460949,1.910494
2012-03-18,48.290997,46.598892,1.692104999999998
2012-03-19,48.266482,46.62782,1.6386620000000036
2012-03-20,48.368468,46.474685,1.893782999999999
2012-03-21,48.37114,46.5145,1.8566399999999987
2012-03-22,47.78637,46.572768,1.2136019999999945
2012-03-23,47.78637,46.572768,1.2136019999999945
2012-03-24,47.571142,46.686585,0.8845570000000009
2012-03-25,48.564293,44.30751,4.256782999999999
2012-03-26,48.502035,44.49999,4.0020450000000025
2012-03-27,48.361125,44.606319,3.754806000000002
2012-03-28,48.27171,44.692093,3.579616999999999
2012-03-29,48.332366,44.656985,3.6753810000000016
2012-03-30,48.345605,44.686528,3.6590769999999964
2012-03-31,48.354445,44.591013,3.7634320000000017
2012-04-01,48.223468,44.662282,3.5611859999999993
2012-04-02,48.072715,44.728101,3.344614
2012-04-03,47.819376,45.240609,2.578766999999999
2012-04-04,47.824309,45.316899,2.50741
2012-04-05,47.5559,44.296967,3.258932999999999
2012-04-06,47.628487,44.092485,3.5360019999999963
2012-04-07,47.572756,44.270082,3.302673999999996
2012-04-08,48.140213,44.403791,3.7364220000000046
2012-04-09,48.08136,44.451288,3.6300719999999984
2012-04-10,47.849805,44.56795,3.281855
2012-04-11,47.266852,45.316176,1.9506760000000014
2012-04-12,47.423526,45.29414,2.1293860000000038
2012-04-13,47.078002,45.609339,1.4686629999999994
2012-04-14,47.041384,45.762921,1.2784630000000021
2012-04-15,47.018376,46.10296,0.9154160000000005
2012-04-16,47.202996,46.010553,1.1924429999999973
2012-04-17,47.087934,45.855241,1.2326929999999976
2012-04-18,46.994972,45.897324,1.0976479999999995
2012-04-19,47.00086,45.884468,1.1163920000000047
2012-04-20,47.081945,45.824408,1.2575369999999992
2012-04-21,47.132483,45.73936,1.3931230000000028
2012-04-22,47.133876,45.228673,1.9052030000000002
2012-04-23,47.148603,45.395161,1.7534419999999997
2012-04-24,47.117113,45.73651,1.3806030000000007
2012-04-25,46.888519,47.262961,0.37444199999999483
2012-04-26,47.812357,46.408301,1.404055999999997
2012-04-27,47.246156,46.557016,0.6891400000000019
2012-04-28,46.95072,47.400685,0.44996500000000594
2012-04-29,46.965213,47.304754,0.3395410000000041
2012-04-30,47.146805,46.759633,0.3871719999999996
2012-05-01,47.011273,46.659256,0.3520170000000036
2012-05-02,47.137917,46.600782,0.5371349999999993
2012-05-03,47.049156,46.71759,0.33156600000000225
2012-05-04,47.058068,46.639827,0.41824100000000186
2012-05-05,47.030307,46.744427,0.2858799999999988
2012-05-06,46.899868,46.866915,0.03295299999999912
2012-05-07,46.916588,46.530586,0.38600199999999774
2012-05-08,46.663671,46.941803,0.2781319999999994
2012-05-09,46.692622,46.99596,0.30333799999999655
2012-05-10,46.641525,47.063191,0.4216660000000019
2012-05-11,46.605924,47.083649,0.4777249999999995
2012-05-12,46.436989,46.851051,0.41406200000000126
2012-05-13,46.244642,46.8108,0.5661580000000015
2012-05-14,45.847153,47.023065,1.1759120000000038
2012-05-15,45.916715,46.341546,0.4248309999999975
2012-05-16,45.647215,46.353016,0.7058009999999939
2012-05-17,45.5782,46.419682,0.8414819999999992
2012-05-18,45.529752,46.457081,0.9273290000000003
2012-05-19,45.574844,46.324231,0.7493869999999987
2012-05-20,46.005986,46.30582,0.29983399999999705
2012-05-21,46.025327,46.170688,0.14536100000000118
2012-05-22,46.022137,46.184612,0.1624750000000006
2012-05-23,46.062545,46.077709,0.015163999999998623
2012-05-24,46.030882,46.131314,0.10043200000000496
2012-05-25,46.020366,45.961313,0.059053000000005795
2012-05-26,46.05832,45.924461,0.13385900000000106
2012-05-27,46.008632,46.316397,0.3077650000000034
2012-05-28,46.000068,46.103737,0.10366900000000356
2012-05-29,46.025679,46.06054,0.03486100000000647
2012-05-30,46.078478,45.908155,0.17032299999999623
2012-05-31,45.979978,46.299212,0.31923399999999447
2012-06-01,46.008529,46.299381,0.2908519999999939
2012-06-02,46.096569,46.37133,0.27476099999999803
2012-06-03,46.493117,45.810666,0.6824510000000004
2012-06-04,46.530572,45.533165,0.9974070000000026
2012-06-05,46.227731,45.552733,0.6749979999999951
2012-06-06,46.22406,45.867333,0.35672699999999935
2012-06-07,46.359908,45.672227,0.6876809999999978
2012-06-08,46.144769,45.936553,0.20821599999999307
2012-06-09,46.060832,46.079355,0.018523000000001844
2012-06-10,46.240851,45.853308,0.38754300000000086
2012-06-11,46.142694,45.902687,0.24000699999999853
2012-06-12,46.100067,46.027362,0.07270500000000624
2012-06-13,46.071454,46.04024,0.031214000000005626
