modeldate,George W. Bush,John Kerry,margin
2004-02-26,45.979978,49.035028,3.0550499999999943
2004-02-27,46.097905,48.967691,2.869786000000005
2004-02-28,46.08766,48.981171,2.8935110000000037
2004-02-29,46.089439,48.722972,2.633533
2004-03-01,45.936005,48.201843,2.265837999999995
2004-03-02,45.936005,48.201843,2.265837999999995
2004-03-03,46.974839,46.010778,0.964061000000001
2004-03-04,45.755982,46.626599,0.8706169999999958
2004-03-05,45.755982,46.626599,0.8706169999999958
2004-03-06,45.755982,46.626599,0.8706169999999958
2004-03-07,45.004896,47.327847,2.322950999999996
2004-03-08,45.5045,47.016729,1.5122289999999978
2004-03-09,45.5045,47.016729,1.5122289999999978
2004-03-10,45.514726,47.015953,1.501227
2004-03-11,45.563907,46.252957,0.6890500000000017
2004-03-12,45.563907,46.252957,0.6890500000000017
2004-03-13,45.562367,46.257223,0.6948560000000015
2004-03-14,45.770668,44.635538,1.1351300000000037
2004-03-15,45.762112,44.635633,1.1264790000000033
2004-03-16,45.752116,44.634635,1.117480999999998
2004-03-17,45.748865,44.638576,1.1102890000000016
2004-03-18,45.704105,44.557921,1.146183999999998
2004-03-19,46.349825,44.183682,2.1661430000000053
2004-03-20,46.349825,44.183682,2.1661430000000053
2004-03-21,48.564133,45.147537,3.4165959999999984
2004-03-22,48.529062,44.519213,4.009849000000003
2004-03-23,48.524507,44.517672,4.006835000000002
2004-03-24,48.234488,43.89736,4.337128
2004-03-25,48.229838,43.900256,4.329582000000002
2004-03-26,48.270706,43.943533,4.327172999999995
2004-03-27,48.270706,43.943533,4.327172999999995
2004-03-28,49.464053,44.04225,5.421802999999997
2004-03-29,49.452228,44.019984,5.432243999999997
2004-03-30,49.157898,44.783771,4.374127000000001
2004-03-31,48.480734,44.074213,4.406520999999998
2004-04-01,47.800676,44.834329,2.966347000000006
2004-04-02,47.800676,44.834329,2.966347000000006
2004-04-03,47.3163,45.146875,2.169424999999997
2004-04-04,47.169957,45.168302,2.0016549999999995
2004-04-05,47.203224,45.131647,2.071576999999998
2004-04-06,47.203224,45.131647,2.071576999999998
2004-04-07,46.677224,44.928995,1.748229000000002
2004-04-08,46.565446,44.832554,1.7328919999999997
2004-04-09,46.115252,45.531678,0.5835739999999987
2004-04-10,46.115252,45.531678,0.5835739999999987
2004-04-11,46.115252,45.531678,0.5835739999999987
2004-04-12,46.14279,45.501263,0.6415269999999964
2004-04-13,46.129326,45.509844,0.6194819999999979
2004-04-14,44.622538,45.611468,0.9889300000000034
2004-04-15,44.619122,45.239348,0.6202260000000024
2004-04-16,44.619122,45.239348,0.6202260000000024
2004-04-17,44.435658,45.356456,0.9207980000000049
2004-04-18,45.956438,45.044556,0.9118819999999985
2004-04-19,45.869163,44.432324,1.436838999999999
2004-04-20,45.869227,44.431089,1.4381380000000021
2004-04-21,45.866456,44.435729,1.4307269999999974
2004-04-22,45.552724,43.947025,1.6056990000000013
2004-04-23,45.816454,43.9049,1.9115540000000024
2004-04-24,45.816487,43.90488,1.9116070000000036
2004-04-25,45.817384,43.907266,1.910117999999997
2004-04-26,45.817744,43.907429,1.910314999999997
2004-04-27,45.233827,43.453843,1.779983999999999
2004-04-28,45.245919,43.438828,1.8070909999999998
2004-04-29,45.245925,43.438782,1.8071429999999964
2004-04-30,45.245925,43.438782,1.8071429999999964
2004-05-01,45.899934,43.58641,2.313524000000001
2004-05-02,45.888347,43.592314,2.2960330000000013
2004-05-03,46.216005,43.541375,2.6746300000000005
2004-05-04,46.346213,44.10409,2.2421229999999994
2004-05-05,46.379084,44.037184,2.3418999999999954
2004-05-06,46.267597,44.104908,2.1626890000000003
2004-05-07,46.267597,44.104908,2.1626890000000003
2004-05-08,46.267597,44.104908,2.1626890000000003
2004-05-09,45.933423,44.693112,1.2403109999999984
2004-05-10,45.898403,44.707481,1.1909220000000005
2004-05-11,45.881516,44.718539,1.162976999999998
2004-05-12,45.876441,44.716424,1.1600169999999963
2004-05-13,45.470828,45.857338,0.38651000000000124
2004-05-14,45.543639,45.911835,0.36819600000000463
2004-05-15,45.543209,45.911143,0.3679340000000053
2004-05-16,45.524972,45.909519,0.38454700000000486
2004-05-17,45.52339,45.907993,0.3846029999999985
2004-05-18,45.698713,45.920954,0.2222410000000039
2004-05-19,44.984117,45.800716,0.8165990000000036
2004-05-20,44.952775,45.811522,0.8587469999999939
2004-05-21,44.952775,45.811522,0.8587469999999939
2004-05-22,45.245132,46.195233,0.9501010000000036
2004-05-23,45.34951,47.069378,1.7198679999999982
2004-05-24,45.645566,47.022396,1.3768299999999982
2004-05-25,45.676468,47.013405,1.336936999999999
2004-05-26,45.676968,47.009738,1.3327699999999965
2004-05-27,45.676866,47.009618,1.3327520000000064
2004-05-28,45.676708,47.009709,1.333001000000003
2004-05-29,45.676708,47.009709,1.333001000000003
2004-05-30,45.676708,47.009709,1.333001000000003
2004-05-31,45.676708,47.009709,1.333001000000003
2004-06-01,45.670698,47.00772,1.3370219999999975
2004-06-02,45.670698,47.00772,1.3370219999999975
2004-06-03,46.443018,47.893263,1.4502449999999953
2004-06-04,46.962376,47.902415,0.9400389999999987
2004-06-05,46.315117,47.165647,0.8505299999999991
2004-06-06,46.142001,47.092218,0.9502170000000021
2004-06-07,46.142001,47.092218,0.9502170000000021
2004-06-08,46.142511,47.763043,1.6205320000000043
2004-06-09,45.840825,47.758945,1.9181199999999947
2004-06-10,46.154206,47.880866,1.7266599999999954
2004-06-11,46.179274,47.878055,1.6987810000000039
2004-06-12,46.179272,47.878061,1.698789000000005
2004-06-13,45.993997,47.440168,1.4461709999999997
2004-06-14,45.993977,47.436155,1.4421779999999984
2004-06-15,46.416434,46.548111,0.13167699999999627
2004-06-16,46.416108,46.547895,0.13178699999999566
2004-06-17,46.721814,46.921597,0.1997829999999965
2004-06-18,46.721052,46.921583,0.20053099999999802
2004-06-19,46.599886,46.5683,0.03158599999999723
2004-06-20,46.5851,47.615408,1.030308000000005
2004-06-21,46.584153,47.613282,1.0291289999999975
2004-06-22,46.586247,47.610746,1.0244989999999987
2004-06-23,47.613419,47.375045,0.2383740000000003
2004-06-24,47.611307,47.374504,0.23680299999999477
2004-06-25,47.611307,47.374504,0.23680299999999477
2004-06-26,47.611307,47.374504,0.23680299999999477
2004-06-27,47.601984,46.792032,0.8099520000000027
2004-06-28,47.488184,47.121411,0.3667729999999949
2004-06-29,47.487531,47.122788,0.36474299999999715
2004-06-30,47.48823,47.121132,0.3670979999999986
2004-07-01,47.48823,47.121132,0.3670979999999986
2004-07-02,47.488011,47.121046,0.36696500000000043
2004-07-03,47.684628,47.084966,0.599661999999995
2004-07-04,47.684628,47.084966,0.599661999999995
2004-07-05,47.694796,47.078246,0.6165499999999966
2004-07-06,47.199901,48.109146,0.9092450000000056
2004-07-07,47.680735,47.56039,0.12034500000000037
2004-07-08,47.041256,47.940273,0.8990170000000006
2004-07-09,46.966226,48.316813,1.3505870000000044
2004-07-10,46.829799,48.973555,2.143755999999996
2004-07-11,46.696159,48.279649,1.5834899999999976
2004-07-12,46.697654,48.276665,1.5790110000000013
2004-07-13,46.423374,48.585381,2.1620069999999956
2004-07-14,46.434277,48.583252,2.148975
2004-07-15,46.257779,48.188024,1.9302449999999993
2004-07-16,46.257779,48.188024,1.9302449999999993
2004-07-17,45.789463,48.113738,2.324275
2004-07-18,45.308282,47.943729,2.635446999999999
2004-07-19,45.308282,47.943729,2.635446999999999
2004-07-20,45.316596,47.950972,2.634376000000003
2004-07-21,45.757849,47.279049,1.5212000000000003
2004-07-22,45.590323,47.537017,1.9466940000000008
2004-07-23,45.591905,47.538089,1.9461840000000024
2004-07-24,45.402539,47.602183,2.1996439999999993
2004-07-25,46.024413,47.332523,1.3081099999999992
2004-07-26,46.026698,47.332462,1.3057639999999964
2004-07-27,46.026698,47.332462,1.3057639999999964
2004-07-28,46.026905,47.3323,1.3053949999999972
2004-07-29,45.667038,46.034046,0.36700799999999845
2004-07-30,45.323955,48.504994,3.1810390000000055
2004-07-31,46.564416,47.595259,1.0308429999999973
2004-08-01,46.968205,47.657683,0.6894780000000011
2004-08-02,46.93207,47.543662,0.6115919999999946
2004-08-03,46.93207,47.543662,0.6115919999999946
2004-08-04,46.390615,47.947506,1.5568910000000002
2004-08-05,45.93464,48.648934,2.7142939999999953
2004-08-06,45.93464,48.648934,2.7142939999999953
2004-08-07,45.93464,48.648934,2.7142939999999953
2004-08-08,46.210503,48.693125,2.482621999999999
2004-08-09,46.208488,48.681607,2.473118999999997
2004-08-10,46.017817,48.517038,2.4992209999999986
2004-08-11,46.160159,48.278675,2.1185159999999996
2004-08-12,46.144965,48.242259,2.097293999999998
2004-08-13,46.144965,48.242259,2.097293999999998
2004-08-14,46.036639,48.375959,2.3393200000000007
2004-08-15,46.067981,48.398249,2.3302679999999967
2004-08-16,46.069089,48.39215,2.3230610000000027
2004-08-17,46.347308,48.475894,2.1285859999999985
2004-08-18,46.337276,48.34251,2.0052339999999944
2004-08-19,46.336833,48.345144,2.008310999999999
2004-08-20,46.336833,48.345144,2.008310999999999
2004-08-21,46.35363,48.314753,1.9611230000000006
2004-08-22,46.35231,48.318472,1.966161999999997
2004-08-23,46.24515,47.860878,1.6157279999999972
2004-08-24,46.889268,47.658246,0.768977999999997
2004-08-25,46.889965,47.099061,0.2090960000000024
2004-08-26,47.030463,47.076585,0.04612200000000399
2004-08-27,47.03504,47.069183,0.034143000000000256
2004-08-28,47.03504,47.069183,0.034143000000000256
2004-08-29,47.022256,47.169122,0.14686600000000283
2004-08-30,47.022256,47.169122,0.14686600000000283
2004-08-31,47.022232,47.169092,0.14685999999999666
2004-09-01,47.668473,46.133063,1.5354099999999988
2004-09-02,49.407582,44.175786,5.231795999999996
2004-09-03,51.37421,43.441862,7.9323479999999975
2004-09-04,51.37421,43.441862,7.9323479999999975
2004-09-05,51.110081,43.57349,7.536591000000001
2004-09-06,51.09034,43.540861,7.549478999999998
2004-09-07,51.061498,43.564939,7.496558999999998
2004-09-08,50.79012,43.572303,7.217817000000004
2004-09-09,50.75708,43.782406,6.974674
2004-09-10,50.844495,43.21207,7.632425000000005
2004-09-11,50.85019,43.200433,7.649757000000001
2004-09-12,50.748137,43.671375,7.076762000000002
2004-09-13,50.487699,44.007043,6.480655999999996
2004-09-14,50.119937,44.210165,5.909771999999997
2004-09-15,50.332891,43.943032,6.389858999999994
2004-09-16,50.352828,44.001684,6.351144000000005
2004-09-17,50.352782,44.001738,6.351043999999995
2004-09-18,50.087094,44.00592,6.081173999999997
2004-09-19,49.785697,44.19357,5.592126999999998
2004-09-20,49.770258,44.203682,5.566575999999998
2004-09-21,49.444721,44.261347,5.183374000000001
2004-09-22,49.543515,43.986582,5.556933000000001
2004-09-23,49.298534,44.293379,5.005154999999995
2004-09-24,49.304541,44.289086,5.015455000000003
2004-09-25,49.305084,44.289175,5.015909000000001
2004-09-26,49.417615,44.04082,5.376795000000001
2004-09-27,49.163759,44.292279,4.871479999999998
2004-09-28,49.392184,44.193146,5.199038000000002
2004-09-29,49.393296,44.194681,5.198614999999997
2004-09-30,49.462807,44.206333,5.256473999999997
2004-10-01,49.470448,44.190712,5.279736
2004-10-02,48.542721,45.206474,3.336247
2004-10-03,48.654246,45.413351,3.240895000000002
2004-10-04,48.558378,45.473666,3.084711999999996
2004-10-05,48.517448,45.772132,2.7453160000000025
2004-10-06,48.028471,46.234663,1.7938080000000056
2004-10-07,48.043326,46.219028,1.8242979999999989
2004-10-08,47.953033,46.262314,1.6907189999999943
2004-10-09,48.076369,46.366598,1.7097709999999964
2004-10-10,47.768946,46.669961,1.098984999999999
2004-10-11,47.634526,46.371817,1.262709000000001
2004-10-12,47.569966,46.269922,1.3000439999999998
2004-10-13,47.543175,46.258418,1.284756999999999
2004-10-14,48.078425,45.907735,2.1706900000000005
2004-10-15,48.021537,46.028948,1.9925890000000024
2004-10-16,48.431852,45.620102,2.8117499999999964
2004-10-17,48.493867,45.749513,2.7443540000000013
2004-10-18,48.306945,45.904571,2.402374000000002
2004-10-19,48.345715,46.154748,2.1909670000000006
2004-10-20,48.226203,46.225303,2.0009000000000015
2004-10-21,48.260268,46.22476,2.035508
2004-10-22,48.251875,46.306692,1.945183
2004-10-23,48.317146,46.273991,2.0431549999999987
2004-10-24,48.376053,46.218765,2.157288000000001
2004-10-25,48.363864,46.244165,2.119698999999997
2004-10-26,48.427904,46.263823,2.164080999999996
2004-10-27,48.427381,46.233246,2.1941349999999957
2004-10-28,48.64422,46.230768,2.4134519999999995
2004-10-29,48.58741,46.175737,2.4116730000000004
2004-10-30,48.563622,46.287616,2.2760060000000024
2004-10-31,48.518402,46.701957,1.8164450000000016
2004-11-01,48.623048,46.983212,1.6398359999999954
2004-11-02,48.637731,47.020248,1.617483
