candidate,mentions,total_mentions,run_at_utc,date_range,timespan,keywords,domains,source_lang,source_country,subtitle
Trump,"BBW (59), AAPL (47), TGT (46), PYPL (45), DJT (41), CVX (33), Bitcoin (22), TGNA (17), BANR (14), CHCO (13), NVDA (6), TSLA (6), MSFT (5), BPOP (5), V (2), KN (2), BLK (2), DE (2), BB (2), FRHC (2), KW (2), SBUX (1), PFE (1), BAC (1), BRK.A (1), BILL (1), INTC (1), ROL (1), CORZ (1), CPS (1), MCD (1), BALL (1), BCS (1), COHR (1), BYND (1), GES (1), ORCL (1), LPX (1), PGR (1), ORN (1), MORN (1), LCID (1), SCOR (1), WSM (1), Ethereum (1), HAYW (1), GHC (1), GHM (1), CLCO (1), UNM (1), RS (1), DAN (1), BLCO (1)",405,2025-12-23 19:47:18,01-Aug-2024 - 17-Oct-2024,,stock,,ENG,,"2024 US election, Trump vs Harris, 01-Aug-2024 - 17-Oct-2024"
Harris,"TGT (35), AAPL (29), BBW (24), CVX (20), BANR (12), CHCO (9), NFLX (7), PH (6), Bitcoin (6), BPOP (6), TGNA (5), CRM (4), DJT (3), DAN (2), MCD (2), AWRE (2), GHM (2), GHC (2), ALB (1), MKC.V (1), MKC (1), BCS (1), LHX (1), MTDR (1), GCO (1), TALK (1), GEV (1), BALL (1), NVDA (1), TILE (1), KR (1), COHR (1), ORCL (1), HOPE (1), Ripple (1), YELP (1), SGRP (1), UNM (1), WD (1), BB (1), NEU (1), PGR (1), INTC (1), HIHO (1)",202,2025-12-23 19:47:18,01-Aug-2024 - 17-Oct-2024,,stock,,ENG,,"2024 US election, Trump vs Harris, 01-Aug-2024 - 17-Oct-2024"
Republican,"AAPL (44), TGT (6), PH (4), WSM (3), BILL (3), BBW (2), TSLA (2), Bitcoin (2), CHCO (1), LMND (1), ROL (1), MKC.V (1), MKC (1), BALL (1), COHR (1), CPS (1), DJT (1), BANR (1), GD (1), ORN (1), KN (1), HWM (1)",80,2025-12-23 19:47:18,01-Aug-2024 - 17-Oct-2024,,stock,,ENG,,"2024 US election, Trump vs Harris, 01-Aug-2024 - 17-Oct-2024"
Democrat,"AAPL (41), CVX (19), TGT (8), BBW (3), BPOP (3), MKC (3), MKC.V (3), BILL (3), CHCO (3), Bitcoin (1), PH (1), UNM (1), KW (1), COHR (1), BALL (1), TSLA (1)",93,2025-12-23 19:47:18,01-Aug-2024 - 17-Oct-2024,,stock,,ENG,,"2024 US election, Trump vs Harris, 01-Aug-2024 - 17-Oct-2024"
Trump,"TGT (165), TGNA (132), WWD (125), BBW (108), ORCL (106), PYPL (100), BANR (83), SGRP (64), AAPL (61), BILL (49), CHCO (41), BPOP (29), MSFT (24), CVX (23), BB (12), CLF (11), UVV (10), LPX (9), V (8), TSLA (7), BRC (5), MSCI (4), BALL (4), SNA (4), INTC (4), Bitcoin (3), NVDA (3), CPS (3), OSK (3), GES (3), RS (3), NFLX (3), MRNA (3), AA (3), WKHS (2), WIT (2), ROG (2), BX (2), FRHC (2), FOSL (2), CLCO (2), WSM (2), REGN (2), WFC (2), FDX (2), BOX (1), HSBC (1), LCID (1), GILD (1), SSTK (1), IBIO (1), NKE (1), AWRE (1), CELG.R (1), PFE (1), ABT (1), JNJ (1), LPLA (1), DB (1), BMY (1), IRBT (1), TDAY (1), KNX (1), PH (1), TDOC (1), MCD (1), INO (1), NYT (1), NWSA (1), CXW (1), MCK (1), EIG (1), HAYW (1), HD (1), PLBY (1), GHC (1), GHM (1), CGC (1), ROL (1), DAN (1), SPGI (1), BKNG (1), HOG (1), LLY (1)",1276,2025-12-24 11:27:32,01-Aug-2020 - 08-Oct-2020,,stock,,ENG,,"2020 US election, Trump vs Biden, 01-Aug-2020 - 08-Oct-2020"
Biden,"PYPL (100), SGRP (64), TGT (59), BANR (48), BBW (34), NFLX (15), AAPL (10), CHCO (10), TGNA (9), WWD (8), TSLA (7), BPOP (5), CVX (5), FOSL (4), CLF (4), BB (3), OSK (3), BILL (3), GHC (3), GHM (3), FRHC (2), ORCL (2), Bitcoin (2), BRC (2), NKE (1), CPS (1), WAT (1), MSCI (1), SSTK (1), ABT (1), WSM (1), RUN (1), WFC (1), CGC (1), COHR (1), LPX (1), OUST (1), LPLA (1), SYNA (1), CXW (1), MCO (1), CARV (1), GES (1), AMZN (1), GM (1)",426,2025-12-24 11:27:32,01-Aug-2020 - 08-Oct-2020,,stock,,ENG,,"2020 US election, Trump vs Biden, 01-Aug-2020 - 08-Oct-2020"
Republican,"BILL (20), TGT (11), BBW (6), CULP (4), CVX (4), BANR (3), AAPL (2), CHCO (2), WSM (1), TDAY (1), WRAP (1), CLF (1), LPX (1), FRHC (1), DAN (1), UPST (1), BRC (1), MSCI (1), BPOP (1)",63,2025-12-24 11:27:32,01-Aug-2020 - 08-Oct-2020,,stock,,ENG,,"2020 US election, Trump vs Biden, 01-Aug-2020 - 08-Oct-2020"
Democrat,"BILL (40), TGT (21), BBW (15), CVX (12), AAPL (9), CHCO (5), SGRP (3), BANR (3), BPOP (3), BRC (2), KW (1), MSCI (1), MSFT (1), UPST (1), PACS (1), WWD (1), ORCL (1), FOSL (1), TDAY (1), FRHC (1), LPX (1), WSM (1), HOG (1), QCOM (1), MCO (1), NWSA (1), MCD (1), BALL (1)",131,2025-12-24 11:27:32,01-Aug-2020 - 08-Oct-2020,,stock,,ENG,,"2020 US election, Trump vs Biden, 01-Aug-2020 - 08-Oct-2020"
