feed,candidate,title,summary,link,published,tickers,sentiment
https://www.cnbc.com/id/100003114/device/rss/rss.html,Trump,"Voters express frustration with Trump's handling of economy, NBC News poll shows",More than 60% of registered voters recently polled said Trump's administration has fallen short of expectations regarding the economy.,https://www.cnbc.com/2025/11/02/trump-economy-nbc-news-poll.html,2025-11-02 18:10:42,,neutral
https://www.cnbc.com/id/100003114/device/rss/rss.html,Trump,"Trump tariffs could add $40 billion to holiday shoppers' and sellers' costs, LendingTree warns","It has been six months since President Donald Trump announced new ""liberation day"" tariffs, which are a key part of his trade agenda.",https://www.cnbc.com/2025/11/02/trump-trade-holiday-shopping-lending-tree-tariffs.html,2025-11-02 14:18:26,,neutral
https://www.cnbc.com/id/100003114/device/rss/rss.html,Harris,What keeps Ella Emhoff motivated during tumultuous times: 'Small changes impact big change',"Ella Emhoff on staying politically active, mental health, and the best advice former Vice President Kamala Harris gave her.",https://www.cnbc.com/2025/11/02/what-keeps-ella-emhoff-motivated-during-tumultuous-times.html,2025-11-02 14:30:01,,negative
https://www.cnbc.com/id/100003114/device/rss/rss.html,Harris,Kamala Harris reveals how refusing to take ‘no’ for an answer served her career,"""I don't rest easy with the idea that something is not possible,"" former Vice President Kamala Harris said on Steven Bartlett's Diary of a CEO podcast.",https://www.cnbc.com/2025/11/02/kamala-harris-on-why-never-taking-no-for-answer-served-her-career.html,2025-11-02 08:04:47,,positive
https://www.cnbc.com/id/100003114/device/rss/rss.html,Trump,Trump touts marble Lincoln Bathroom remodel amid government shutdown,"Trump's bathroom update follows his major makeover of the Oval Office, and the demolition of the White House East Wing, to be replaced by a large ballroom.",https://www.cnbc.com/2025/10/31/trump-bathroom-white-house-remodel-shutdown.html,2025-10-31 20:50:08,,neutral
https://www.cnbc.com/id/100003114/device/rss/rss.html,Trump,"'Trump effect' raises hopes for cannabis rally as investors bet on federal reforms, softer marijuana stance","Cannabis stocks could rally on hopes for new hemp regulations and Trump's possible softer stance on marijuana, fueling investor optimism across the industry.",https://www.cnbc.com/2025/11/01/cannabis-stock-market-trump-marijuana.html,2025-11-01 12:00:01,,positive
