Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-11-01,19.46,22.88,14.85,18.51,-1.69,-8.37%,0,836,16.99%,0.65237681667257,0.012431208708386,-0.328756615,0.64654228638113,0.23795012594454,18.099999999993,810.87,800,17.8,18.4
2016-10-31,29,29,19.8,20.2,-7.9,-28.11%,0,778,0.00%,0.616705,0.010398,-0.441849,0.647324,0.210134,14.727905,822.43,800,19.6,20.6
2016-10-28,32.36,40.4,27.15,28.1,-6.2,-18.08%,0,767,0.00%,0.696519,0.008593,-0.378149,0.65352,0.282704,22.203858,829.94,800,27.3,28.2
2016-10-27,40.65,40.65,33.11,34.3,-0.82,-2.33%,0,781,26.00%,0.68443395707266,0.0067687187203299,-0.4303552236,0.71829947818482,0.31884694004841,34.299999999927,823.01,800,33.9,34.7
2016-10-26,37.6,39.96,35.12,35.12,-7.52,-17.64%,0,776,26.86%,0.70265291546982,0.00620993579544,-0.4259364707,0.71897392806133,0.34215068164067,38.200055306541,827.12,800,37.9,38.5
2016-10-25,47.42,47.42,41.2,42.64,-4.36,-9.28%,0,768,20.24%,0.82557728597593,0.0059106583127286,-0.2405296072,0.5530878301525,0.42696770580896,42.900029678384,838.5,800,42.6,43.2
2016-10-24,44.82,49.58,42.8,47,7.05,+17.65%,0,786,34.62%,0.67579148411345,0.0047811581122036,-0.5466191314,0.78108281457248,0.35199845631227,47.049999999954,830.09,800,46.5,47.6
2016-10-21,38.3,40,36.54,39.95,0.45,+1.14%,0,783,31.85%,0.62837159046966,0.005227844790949,-0.4936023367,0.85869851353745,0.36477840694715,39.750053616903,820,800,38.8,40.7
2016-10-20,43.85,44,39.5,39.5,-4.6,-10.43%,0,762,24.49%,0.70189549300693,0.0060697858985717,-0.3473927708,0.808692087456,0.43051944684791,39.000056924621,827.56,800,38.5,39.5
2016-10-19,42.28,44.3,42.28,44.1,2.6,+6.27%,0,760,32.15%,0.64651604277321,0.004892489332554,-0.4741255806,0.87865620697533,0.40213593422322,43.800042809879,824.52,800,43.4,44.2
