Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price~,Strike,Bid,Ask
2016-10-27,2.2,2.78,1.91,2.71,0.65,+31.55%,0,6503,19.81%,0.42781235566985,0.045279025617478,-0.0775384412,0.1716295513253,0.044350716118605,2.6500156518983,178.19,180,2.6,2.7
2016-10-26,1.42,2.27,1.3,2.06,0.64,+45.07%,0,6472,23.47%,0.31992177182353,0.034727757915306,-0.0802142157,0.15687026045526,0.033929159297837,2.0750093324098,174.79,180,2.02,2.13
2016-10-25,1.45,1.57,1.31,1.42,0.05,+3.65%,0,6450,18.50%,0.28652132390369,0.040984496378624,-0.0590512697,0.15275028832036,0.032023673558452,1.4499999999974,175.04,180,1.41,1.49
2016-10-24,1.45,1.66,1.27,1.37,-0.04,-2.84%,0,6399,16.83%,0.29088788675666,0.044338059112961,-0.0531750763,0.15742620188202,0.034021092593501,1.3800088774225,175.5,180,1.34,1.42
2016-10-21,1.11,1.55,1.11,1.41,-0.12,-7.84%,0,6223,20.64%,0.24825948242733,0.032037008411373,-0.0559903836,0.15154167066901,0.031827295651765,1.4199999999869,172.84,180,1.39,1.45
2016-10-20,1.47,1.95,1.43,1.53,-0.1,-6.13%,0,6048,18.89%,0.27139458208653,0.035785764746531,-0.0530813215,0.16256306961013,0.036327567673466,1.5000120347437,174,180,1.47,1.53
2016-10-19,1.21,2,1.18,1.63,0.43,+35.83%,0,5990,20.30%,0.26887779668018,0.032697065261156,-0.0554493299,0.16397966274073,0.033738106695047,1.6100118233925,173.37,180,1.58,1.64
2016-10-18,1.75,1.75,1.11,1.2,0.24,+25.00%,0,5751,19.58%,0.22133904446677,0.030271581478516,-0.0470076219,0.14893008548479,0.028687962061458,1.215010338492,172.01,180,1.18,1.25
2016-10-17,1.45,1.46,0.87,0.96,-0.58,-37.66%,0,5646,19.70%,0.18370158113942,0.026725228691138,-0.0412511105,0.13415632395669,0.02448142241244,0.9700092704993,170.5,180,0.89,1.05
2016-10-14,2,2.21,1.27,1.54,0.48,+45.28%,0,4589,20.50%,0.23527667809116,0.028226102582453,-0.0478220939,0.16337986900854,0.034159434007914,1.4550104868132,171.6,180,1.41,1.5
2016-10-13,1.01,1.06,0.89,1.06,-0.33,-23.74%,0,5619,22.98%,0.17015548974104,0.02093227331066,-0.0425067214,0.1332631125791,0.02495693055634,1.0650071630022,167.6,180,1.02,1.11
2016-10-12,1.31,1.46,1.31,1.39,0.08,+6.11%,0,5617,23.11%,0.20678499888406,0.02296164642519,-0.0479647865,0.15368794161048,0.031233647049053,1.4000111974335,169.04,180,1.36,1.44
2016-10-11,1.54,1.62,1.26,1.31,-0.42,-24.28%,0,5101,21.23%,0.20769520345306,0.024612211479418,-0.0438045451,0.15689460110861,0.032452339531691,1.3200100577363,169.84,180,1.29,1.35
2016-10-10,1.63,1.89,1.63,1.73,0.2,+13.07%,0,2594,22.38%,0.24087299683869,0.024967018815298,-0.0497822302,0.17359743786736,0.038488766759185,1.7100128994209,170.52,180,1.69,1.73
2016-10-07,1.17,1.56,1.11,1.53,0.48,+45.71%,0,1513,24.53%,0.20500668488421,0.020381867136742,-0.0471129952,0.16142019102549,0.034665890542744,1.5450105519866,167.5,180,1.52,1.57
2016-10-06,0.92,1.05,0.78,1.05,0.15,+16.67%,0,1510,21.48%,0.1670523576508,0.020297096687251,-0.0358372399,0.14356827521151,0.029184813800696,1.0599999999873,167.18,180,1.03,1.09
2016-10-05,0.6,0.9,0.6,0.9,0.4,+80.00%,0,1508,24.57%,0.13606805261659,0.015667679853418,-0.0345296511,0.12377396213599,0.023759670297458,0.92500585613787,163.32,180,0.89,0.96
2016-10-04,0.47,0.56,0.39,0.5,0.11,+28.21%,0,1192,22.66%,0.089470885729682,0.012599386862781,-0.0230364789,0.091533661730092,0.015959876834797,0.51500579287194,161.24,180,0.46,0.57
2016-10-03,0.4,0.45,0.39,0.39,-0.11,-22.00%,0,1192,21.79%,0.074252689805884,0.011313285920332,-0.0189372026,0.08004150026741,0.013535227164629,0.39999999998144,160.5,180,0.38,0.42
2016-09-30,0.34,0.5,0.34,0.5,0.1,+25.00%,0,932,22.03%,0.077192026907616,0.01120224140305,-0.0190321421,0.084797384697064,0.014906465478637,0.4350054940918,159.95,180,0.41,0.46
2016-09-29,0.53,0.53,0.4,0.4,-0.14,-25.93%,0,851,17.90%,0.075993127812626,0.0132053915885,-0.0154220734,0.08645980986717,0.015392472918948,0.36000290477009,163.38,180,0.34,0.38
2016-09-28,0.53,0.62,0.45,0.54,-0.03,-5.26%,0,307,19.57%,0.09783424550801,0.014451010428455,-0.0201682215,0.10544562246887,0.020057783374692,0.53500472938112,163.34,180,0.52,0.55
2016-09-27,0.43,0.59,0.43,0.57,0.08,+16.33%,0,149,21.78%,0.090204970156416,0.012308867871867,-0.0206118952,0.09867448965853,0.018510420498469,0.53499999991861,160.72,180,0.51,0.56
2016-09-26,0.64,0.64,0.47,0.49,-0.33,-40.24%,0,130,18.38%,0.094726024401521,0.014693418322233,-0.018190793,0.10528747796603,0.020282754924679,0.49500105110537,163.83,180,0.47,0.52
2016-09-23,1.12,1.12,0.82,0.82,-0.41,-33.33%,0,107,16.44%,0.1431016285969,0.020908939005344,-0.0216756938,0.14842000128975,0.032944633121534,0.77000800929468,167.75,180,0.75,0.79
2016-09-22,1.4,1.4,1.23,1.23,0.09,+7.89%,0,77,18.04%,0.18440616878017,0.022186291369597,-0.0279093075,0.17730726540898,0.042942697908721,1.1700159886729,168.45,180,1.13,1.21
2016-09-21,1.32,1.35,1.08,1.14,-0.12,-9.52%,0,76,18.68%,0.17371455157217,0.020586015825312,-0.027438167,0.17120686051149,0.040930552632397,1.1250129837313,167.42,180,1.1,1.15
2016-09-20,1.25,1.37,1.25,1.26,0.11,+9.57%,0,49,18.33%,0.17671701137578,0.020990293691178,-0.0270657893,0.17483351538402,0.042415942398922,1.1399999996722,167.68,180,1.11,1.17
2016-09-19,1.29,1.47,1.1,1.15,0,0.00%,0,N/A,18.55%,0.17487100373495,0.020474405628603,-0.0269178241,0.17478474277938,0.042578842396335,1.1450088040568,167.34,180,1.11,1.18
"Downloaded from Barchart.com as of 01-10-2026 08:56am CST"
